,Date,Open,High,Low ,Close,Volume ,Market Cap
34,2020-06-10,244.82,248.65,242.82,247.44,8792990206,27539945413
35,2020-06-09,246.18,248.34,242.34,244.91,8446545788,27254678255
36,2020-06-08,245.18,246.64,241.54,246.31,8076783299,27406923226
37,2020-06-07,241.91,245.44,236.33,245.17,9544883157,27276459502
38,2020-06-06,241.2,245.98,239.72,241.93,8114873845,26913140925
39,2020-06-05,244.35,247.33,240.68,241.22,9293963914,26830954614
40,2020-06-04,244.11,245.93,236.77,244.43,10170414304,27184018611
41,2020-06-03,237.4,244.18,235.46,244.18,9861760817,27153238868
42,2020-06-02,246.83,252.22,233.23,237.22,13782107567,26376031890
43,2020-06-01,230.86,248.24,230.49,246.99,13951727936,27459257209
44,2020-05-31,242.35,244.05,230.05,230.98,12234904813,25675542329
45,2020-05-30,220.72,243.94,218.74,242.35,15027397867,26936114604
46,2020-05-29,219.93,224.22,218.24,220.68,12265816557,24524484269
47,2020-05-28,208.89,220.28,206.24,219.84,12212469604,24428738047
48,2020-05-27,201.89,208.86,201.79,208.86,10631034756,23206144127
49,2020-05-26,205.26,205.75,200.26,201.9,10159741290,22429962991
50,2020-05-25,201.98,206.36,200.67,205.32,10415044124,22806813423
51,2020-05-24,208.72,210.6,202.37,202.37,11833299572,22476471750
52,2020-05-23,207.19,210.39,205.29,208.69,10665476768,23176030659
53,2020-05-22,199.84,208.59,198.04,207.17,12041592114,23003786385
54,2020-05-21,210.13,211.63,193.35,199.88,13308321229,22192109650
55,2020-05-20,213.45,214.72,207.98,210.1,12730175511,23323160696
56,2020-05-19,214.6,214.6,210.14,213.45,14346192779,23692625224
57,2020-05-18,207.18,215.91,207.11,214.53,17411566928,23808928396
58,2020-05-17,200.61,209.16,200.1,207.16,15470397303,22988575488
59,2020-05-16,195.61,202.77,194.5,200.68,15379081645,22266558227
60,2020-05-15,202.96,203.57,193.76,195.62,16602342092,21703086885
61,2020-05-14,198.89,204.12,196.87,202.95,20150524861,22513148759
62,2020-05-13,189.37,200.2,189.13,199.19,17054662289,22093789228
63,2020-05-12,185.88,191.6,185.7,189.31,15899726284,20995260629
64,2020-05-11,188.63,191.36,180.72,185.91,20054601647,20615704449
65,2020-05-10,211.55,211.55,182.71,188.6,25211575193,20911059578
66,2020-05-09,213.14,214.74,209.07,211.6,18950547549,23458353558
67,2020-05-08,212.2,216.33,208.83,212.99,20445139356,23609735113
68,2020-05-07,203.91,214.39,202.07,212.29,23594744655,23528981906
69,2020-05-06,206.48,211.53,204.04,204.06,20343543799,22613632877
70,2020-05-05,208.01,211.78,204.03,206.77,19004689099,22912129590
71,2020-05-04,210.89,211.83,199.05,208.17,22602446422,23064379025
72,2020-05-03,215.35,219.27,208.69,210.93,20469034664,23367177867
73,2020-05-02,214.23,215.85,212.88,215.33,18260876092,23850828459
74,2020-05-01,207.9,217.63,207.78,214.22,20816320834,23725367639
75,2020-04-30,216.91,227.53,206.44,207.6,28089191904,22989647065
