,Date,Open,High,Low ,Close,Volume ,Market Cap
25,2020-06-18,9481.57,9482.78,9328.4,9411.84,17770083003,173256688664
26,2020-06-17,9533.78,9540.42,9327.34,9480.26,20177709879,174508805561
27,2020-06-16,9454.27,9579.43,9400.45,9538.02,21565537209,175563963385
28,2020-06-15,9386.04,9504.86,8990.18,9450.7,26699704768,173947607772
29,2020-06-14,9477.55,9482.27,9347.59,9386.79,18991732746,172763239787
30,2020-06-13,9480.74,9493.21,9396.01,9475.28,17564322315,174381819725
31,2020-06-12,9320.69,9540.47,9285.85,9480.84,22610564515,174474896922
32,2020-06-11,9870.08,9938.3,9263.07,9321.78,30247143440,171538133043
33,2020-06-10,9794.12,9908.9,9728.29,9870.09,25706567601,181616765438
34,2020-06-09,9774.36,9836.37,9664.72,9795.7,23717842783,180237817527
35,2020-06-08,9760.06,9782.31,9675.89,9771.49,21486346312,179782576534
36,2020-06-07,9653.0,9768.5,9458.15,9758.85,25015250846,179540253701
37,2020-06-06,9664.9,9773.43,9591.02,9653.68,20438419222,177595657884
38,2020-06-05,9800.22,9869.24,9663.22,9665.53,23509628646,177801825145
39,2020-06-04,9655.85,9887.61,9525.25,9800.64,25921805072,180276153545
40,2020-06-03,9533.76,9682.86,9471.85,9656.72,25007459262,177619631126
41,2020-06-02,10162.97,10182.34,9460.57,9529.8,39137252109,175277218229
42,2020-06-01,9463.61,10199.56,9450.9,10167.27,35198901068,186993405740
43,2020-05-31,9700.11,9700.34,9432.3,9461.06,27773290299,173997151930
44,2020-05-30,9438.91,9704.03,9366.73,9700.41,32722975141,178390129758
45,2020-05-29,9528.36,9573.67,9379.34,9439.12,32896642044,173575756364
46,2020-05-28,9184.94,9546.32,9148.46,9525.75,34367073114,175161235290
47,2020-05-27,8837.38,9203.32,8834.16,9181.02,32740536902,168814700531
48,2020-05-26,8909.59,8991.97,8757.29,8835.05,29584186947,162445535235
49,2020-05-25,8786.11,8951.01,8719.67,8906.93,31288157264,163760453116
50,2020-05-24,9212.28,9288.4,8787.25,8790.37,32518803300,161610414643
51,2020-05-23,9185.06,9302.5,9118.11,9209.29,27727866812,169305492440
52,2020-05-22,9080.33,9232.94,9008.64,9182.58,29810773699,168807619957
53,2020-05-21,9522.74,9555.24,8869.93,9081.76,39326160532,166947987864
54,2020-05-20,9725.33,9804.79,9447.2,9522.98,36546239703,175050963475
55,2020-05-19,9727.06,9836.05,9539.62,9729.04,39254288955,178831635026
56,2020-05-18,9675.69,9906.03,9570.36,9726.57,41827139896,178779483464
57,2020-05-17,9374.93,9823.0,9349.55,9670.74,40084250663,177745404470
58,2020-05-16,9333.24,9564.2,9260.69,9377.01,36164766408,172340956579
59,2020-05-15,9734.29,9755.83,9261.4,9328.2,48158802327,171436341789
60,2020-05-14,9271.33,9793.27,9255.03,9733.72,56426907637,178881641547
61,2020-05-13,8805.39,9317.88,8805.39,9269.99,45558144023,170352710071
62,2020-05-12,8610.39,8949.9,8569.64,8804.48,42142717533,161791577301
63,2020-05-11,8755.54,9033.47,8374.32,8601.8,57119858802,158059235276
64,2020-05-10,9591.17,9595.58,8395.11,8756.43,63325279337,160884755211
65,2020-05-09,9840.91,9913.86,9580.64,9593.9,46566121841,176251395673
66,2020-05-08,9936.16,9996.74,9767.17,9842.67,51780748042,180804859844
67,2020-05-07,9261.9,9992.66,9138.32,9951.52,61112700562,182787376637
68,2020-05-06,9007.44,9411.47,8966.71,9268.76,49371886931,170229620935
69,2020-05-05,8912.83,9062.41,8856.83,9003.07,43148462663,165332488792
70,2020-05-04,8895.74,8956.91,8645.02,8912.65,45718796276,163654493632
71,2020-05-03,8983.61,9167.78,8830.97,8897.47,47101785174,163358189151
72,2020-05-02,8869.06,9007.19,8811.37,8988.6,40134388683,165012307600
73,2020-05-01,8672.78,9048.02,8667.76,8864.77,44068389997,162722652380
74,2020-04-30,8797.67,9440.65,8533.26,8658.55,66964629541,158922133909
75,2020-04-29,7806.71,8871.75,7786.05,8801.04,60201052203,161522471385
76,2020-04-28,7796.97,7814.53,7730.81,7807.06,33187959921,143266252261
77,2020-04-27,7679.42,7795.6,7679.42,7795.6,36162144725,143040988590
78,2020-04-26,7570.14,7700.59,7561.41,7679.87,33070154491,140903867573
79,2020-04-25,7550.48,7641.36,7521.67,7569.94,32941541447,138874072264
80,2020-04-24,7434.18,7574.2,7434.18,7550.9,34636526286,138512029491
81,2020-04-23,7121.31,7491.78,7081.59,7429.72,43500782316,136275638031
82,2020-04-22,6879.44,7145.87,6867.78,7117.21,33249153866,130530916077
83,2020-04-21,6879.78,6934.55,6834.44,6880.32,32589741511,126175238603
84,2020-04-20,7186.87,7240.29,6835.5,6881.96,37747113936,126192239912
85,2020-04-19,7260.92,7280.52,7167.05,7189.42,31311210215,131815853850
86,2020-04-18,7092.29,7269.96,7089.25,7257.66,32447188386,133053136876
87,2020-04-17,7116.55,7167.18,7050.33,7096.18,32513423567,130078472088
88,2020-04-16,6640.45,7134.45,6555.5,7116.8,46783242377,130445413270
89,2020-04-15,6845.56,6928.66,6633.4,6642.11,32288311031,121731940639
90,2020-04-14,6843.28,6958.56,6793.82,6842.43,34110434052,125388687977
91,2020-04-13,6965.62,6965.62,6668.26,6845.04,38619308647,125422221237
92,2020-04-12,6858.07,7119.95,6811.08,6971.09,35759567632,127716846208
93,2020-04-11,6867.44,6926.07,6789.92,6859.08,31222085946,125651623116
94,2020-04-10,7303.82,7303.82,6802.47,6865.49,43622840992,125755496117
95,2020-04-09,7337.97,7341.45,7179.09,7302.09,34815139178,133737857010
96,2020-04-08,7179.28,7356.22,7153.31,7334.1,37563249549,134309895036
97,2020-04-07,7273.64,7427.94,7136.71,7176.41,44243482668,131409299432
98,2020-04-06,6788.05,7271.78,6782.89,7271.78,46896904615,133140400948
99,2020-04-05,6862.54,6883.41,6715.93,6791.13,29510409856,124328853512
100,2020-04-04,6738.38,6878.95,6696.48,6867.53,33185988584,125712834530
101,2020-04-03,6797.4,7003.22,6673.34,6733.39,38976504903,123244051100
102,2020-04-02,6606.78,7088.25,6595.92,6793.62,47660646124,124335130640
103,2020-04-01,6437.32,6612.57,6202.37,6606.78,40346426266,120903014693
104,2020-03-31,6430.61,6504.52,6374.16,6438.64,32786468812,117814077267
105,2020-03-30,5925.54,6517.2,5903.23,6429.84,37101651525,117640143688
106,2020-03-29,6245.62,6250.47,5920.09,5922.04,28373690931,108338520156
107,2020-03-28,6467.25,6467.5,6117.84,6242.19,34885225901,114183689641
108,2020-03-27,6719.39,6793.84,6466.7,6469.8,34585598367,118336082172
109,2020-03-26,6675.17,6735.46,6590.96,6716.44,35319797642,122834375216
110,2020-03-25,6738.72,6892.51,6536.93,6681.06,44590107888,122174009143
111,2020-03-24,6436.64,6789.02,6411.07,6734.8,48221910672,123148917787
112,2020-03-23,5831.37,6443.93,5785.0,6416.31,46491916000,117314776187
113,2020-03-22,6185.56,6359.7,5823.71,5830.25,40099664740,106591196069
114,2020-03-21,6206.52,6378.14,5932.82,6185.07,42494390880,113068192795
115,2020-03-20,6191.65,6844.26,5865.78,6198.78,54442976103,113309245860
116,2020-03-19,5245.42,6329.74,5236.97,6191.19,51000731797,113162079956
117,2020-03-18,5227.11,5331.83,5069.34,5238.44,37878801016,95740715529
118,2020-03-17,5002.58,5371.35,4981.91,5225.63,38622642935,95499941183
119,2020-03-16,5385.23,5385.23,4575.36,5014.48,45368026430,91633478850
120,2020-03-15,5201.07,5836.65,5169.28,5392.31,33997889639,98530059890
121,2020-03-14,5573.08,5625.23,5125.07,5200.37,36154506008,95014981944
122,2020-03-13,5017.83,5838.11,4106.98,5563.71,74156772075,101644613038
123,2020-03-12,7913.62,7929.12,4860.35,4970.79,53980357243,90804613601
124,2020-03-11,7910.09,7950.81,7642.81,7911.43,38682762605,144508402671
125,2020-03-10,7922.15,8136.95,7814.76,7909.73,42213940994,144465567734
126,2020-03-09,8111.15,8177.79,7690.1,7923.64,46936995808,144706353758
127,2020-03-08,8908.21,8914.34,8105.25,8108.12,39973102121,148060284561
128,2020-03-07,9121.6,9163.22,8890.74,8909.95,36216930370,162684945903
129,2020-03-06,9078.31,9167.7,9032.08,9122.55,40826885651,166548261960
130,2020-03-05,8760.29,9142.05,8757.25,9078.76,39698054597,165731679918
131,2020-03-04,8788.54,8843.37,8712.43,8755.25,34746706368,159807857328
132,2020-03-03,8865.39,8901.6,8704.99,8787.79,42386715821,160383579416
133,2020-03-02,8563.26,8921.31,8532.63,8869.67,42857674409,161861167745
134,2020-03-01,8599.76,8726.8,8471.21,8562.45,35349164300,156238987740
135,2020-02-29,8671.21,8775.63,8599.51,8599.51,35792392544,156895988084
136,2020-02-28,8788.73,8890.46,8492.93,8672.46,44605450443,158211707019
137,2020-02-27,8825.09,8932.89,8577.2,8784.49,45470195695,160238496932
138,2020-02-26,9338.29,9354.78,8704.43,8820.52,50420050762,160879489024
139,2020-02-25,9651.31,9652.74,9305.02,9341.71,42515259129,170369581558
140,2020-02-24,9921.58,9951.75,9537.04,9650.17,45080496648,175977808526
141,2020-02-23,9663.32,9937.4,9657.79,9924.52,41185185761,180963233540
142,2020-02-22,9687.71,9698.23,9600.73,9663.18,35838025154,176180696548
143,2020-02-21,9611.78,9723.01,9589.74,9686.44,40930547513,176587087363
144,2020-02-20,9629.33,9643.22,9507.9,9608.48,44925260237,175147142158
145,2020-02-19,10143.8,10191.68,9611.22,9633.39,46992019710,175585931679
146,2020-02-18,9691.23,10161.94,9632.38,10142.0,47271023953,184838512656
147,2020-02-17,9936.56,9938.82,9507.64,9690.14,45998298413,176585280987
148,2020-02-16,9889.18,10053.97,9722.39,9934.43,43374780305,181017665264
149,2020-02-15,10313.86,10341.56,9874.43,9889.42,43865054831,180179996219
150,2020-02-14,10211.55,10322.0,10125.53,10312.12,43338264162,187862645449
151,2020-02-13,10323.96,10457.63,10116.16,10214.38,49356071373,186065003526
152,2020-02-12,10202.39,10393.61,10202.39,10326.05,43444303830,188081204386
153,2020-02-11,9855.89,10210.05,9729.33,10208.24,37648059389,185917114989
154,2020-02-10,10115.56,10165.77,9784.56,9856.61,39386548075,179494809266
155,2020-02-09,9863.89,10129.44,9850.39,10116.67,35807884663,184214765394
156,2020-02-08,9793.07,9876.75,9678.91,9865.12,35172043762,179615828322
157,2020-02-07,9726.0,9834.72,9726.0,9795.94,34522718159,178339437206
158,2020-02-06,9617.82,9824.62,9539.82,9729.8,37628823716,177118274394
159,2020-02-05,9183.42,9701.3,9163.7,9613.42,35222060874,174983423933
160,2020-02-04,9292.84,9331.27,9112.81,9180.96,29893183716,167093636162
161,2020-02-03,9344.68,9540.37,9248.63,9293.52,30934096509,169126861034
162,2020-02-02,9389.82,9468.8,9217.82,9344.37,30835736946,170034976662
163,2020-02-01,9346.36,9439.32,9313.24,9392.88,25922656496,170900662180
164,2020-01-31,9508.31,9521.71,9230.78,9350.53,29432489719,170112778161
165,2020-01-30,9316.02,9553.13,9230.9,9508.99,32378792851,172978577931
166,2020-01-29,9357.47,9406.43,9269.47,9316.63,30682598115,169460984603
167,2020-01-28,8912.52,9358.59,8908.45,9358.59,34398744403,170205617955
168,2020-01-27,8597.31,8977.73,8597.31,8909.82,28647338393,162027957435
169,2020-01-26,8364.41,8602.4,8325.5,8596.83,22177678796,156322174637
170,2020-01-25,8440.12,8458.45,8296.22,8367.85,19647331549,152143262650
171,2020-01-24,8405.57,8514.67,8266.84,8445.43,24397913026,153536829768
172,2020-01-23,8680.65,8687.75,8333.64,8406.52,25770680779,152813329633
173,2020-01-22,8744.21,8792.99,8636.75,8680.88,22600204051,157783273070
174,2020-01-21,8658.99,8755.71,8544.52,8745.89,24097418512,158947996834
175,2020-01-20,8704.63,8745.59,8560.47,8657.64,26422375678,157327553259
176,2020-01-19,8941.45,9164.36,8620.08,8706.25,34217320471,158194319735
177,2020-01-18,8927.21,9012.2,8827.33,8942.81,32337772627,162475965880
178,2020-01-17,8725.21,8958.12,8677.32,8929.04,36372139320,162211148778
179,2020-01-16,8812.48,8846.46,8612.1,8723.79,31313981931,158465055984
180,2020-01-15,8825.34,8890.12,8657.19,8807.01,40102834650,159959191212
181,2020-01-14,8140.93,8879.51,8140.93,8827.76,44841784107,160319484883
182,2020-01-13,8189.77,8197.79,8079.7,8144.19,22482910688,147890525973
183,2020-01-12,8033.26,8200.06,8009.06,8192.49,22903438381,148752956966
184,2020-01-11,8162.19,8218.36,8029.64,8037.54,25521165085,145924199942
185,2020-01-10,7878.31,8166.55,7726.77,8166.55,28714583844,148249907277
186,2020-01-09,8082.3,8082.3,7842.4,7879.07,24045990466,143016572819
187,2020-01-08,8161.94,8396.74,7956.77,8079.86,31672559265,146645162431
188,2020-01-07,7768.68,8178.22,7768.23,8163.69,28767291327,148152237654
189,2020-01-06,7410.45,7781.87,7409.29,7769.22,23276261598,140976457304
190,2020-01-05,7410.45,7544.5,7400.54,7411.32,19725074095,134469548249
191,2020-01-04,7345.38,7427.39,7309.51,7410.66,18444271275,134442464030
192,2020-01-03,6984.43,7413.72,6915.0,7344.88,28111481032,133233444755
193,2020-01-02,7202.55,7212.16,6935.27,6985.47,20802083465,126699395235
194,2020-01-01,7194.89,7254.33,7174.94,7200.17,18565664997,130580829150
